annual_income,existing_debt,credit_utilization_pct,employment_years,requested_loan_amount,risk_score
106910.0,10749.0,86.6,19.2,46059.0,2.9
144343.0,29230.0,58.9,19.6,113409.0,9.2
124612.0,5373.0,35.9,17.7,61608.0,0.0
82054.0,16158.0,40.9,22.3,29711.0,9.1
149313.0,1414.0,43.2,14.3,14479.0,0.0
42551.0,36262.0,63.3,26.2,41920.0,61.6
18747.0,50763.0,92.7,11.7,98256.0,100.0
29858.0,27463.0,93.3,11.6,47234.0,93.0
134189.0,33631.0,39.1,4.5,93156.0,18.3
91210.0,76737.0,32.9,6.6,96719.0,98.2
41610.0,60157.0,45.1,29.8,15077.0,77.9
97672.0,43269.0,56.8,15.6,73822.0,52.8
40131.0,22763.0,46.2,8.0,115173.0,88.2
129893.0,71760.0,65.9,26.6,49452.0,40.0
88616.0,18808.0,55.4,19.4,8011.0,3.5
77869.0,26027.0,32.1,0.7,110950.0,71.5
64749.0,72725.0,34.6,11.1,106273.0,100.0
118997.0,42363.0,37.9,6.2,63613.0,31.6
74699.0,59385.0,9.5,23.0,67166.0,61.6
29462.0,47260.0,16.6,9.6,26985.0,83.7
34471.0,52275.0,72.3,2.3,98695.0,100.0
173713.0,23951.0,38.9,1.9,60835.0,0.0
164916.0,19310.0,21.5,20.4,5998.0,0.0
130452.0,25799.0,56.3,0.8,82596.0,31.0
58869.0,12435.0,75.6,29.7,114159.0,53.0
174914.0,69945.0,25.7,5.4,99840.0,33.5
143494.0,22660.0,82.7,21.2,34709.0,0.0
133287.0,44919.0,92.8,15.6,8292.0,11.5
89145.0,63358.0,59.7,15.5,112961.0,94.1
59920.0,62706.0,66.9,2.5,112573.0,100.0
30905.0,35071.0,5.3,28.1,64825.0,58.4
163929.0,38101.0,94.6,31.3,77793.0,0.0
90203.0,79576.0,39.2,0.4,56587.0,99.8
48390.0,53968.0,92.4,6.3,51532.0,100.0
65483.0,65171.0,57.9,31.6,16095.0,60.5
110571.0,72204.0,0.5,19.2,13417.0,32.2
44168.0,63007.0,3.9,5.3,29462.0,94.0
156341.0,14814.0,68.0,7.1,100724.0,1.8
140156.0,44974.0,56.3,23.1,19208.0,0.0
133711.0,8152.0,2.7,25.4,28750.0,0.0
86295.0,52234.0,74.3,21.0,66736.0,63.0
118506.0,76428.0,85.2,33.4,27385.0,41.7
111376.0,41019.0,49.6,17.3,21258.0,15.6
122225.0,34638.0,46.6,10.5,68471.0,22.0
28933.0,2867.0,0.5,16.7,45435.0,24.6
83608.0,76782.0,78.7,12.6,75887.0,100.0
21866.0,8240.0,33.1,7.9,109640.0,81.0
96508.0,3286.0,87.9,1.6,19817.0,11.9
69427.0,19685.0,37.3,12.3,109785.0,55.2
38846.0,5242.0,56.5,24.9,108494.0,60.0
32061.0,36409.0,27.0,0.6,99832.0,100.0
111961.0,41287.0,16.1,15.4,76492.0,36.3
43148.0,25006.0,77.5,22.5,75177.0,72.2
167645.0,4077.0,49.7,21.4,77427.0,0.0
110875.0,8928.0,53.6,27.2,83478.0,0.0
72234.0,30760.0,96.5,28.4,3945.0,31.7
112501.0,4842.0,96.4,24.9,115055.0,16.4
18763.0,55855.0,85.6,3.6,71101.0,100.0
173162.0,16562.0,18.8,16.6,94213.0,0.0
94580.0,24166.0,59.4,21.1,46519.0,21.2
144151.0,31530.0,87.8,8.6,3463.0,0.0
28650.0,33329.0,37.4,1.5,62149.0,91.0
95299.0,133.0,10.1,7.8,61848.0,0.0
95967.0,8966.0,81.1,15.9,53565.0,20.2
169741.0,69021.0,48.2,14.5,42087.0,9.4
109335.0,99.0,56.4,6.2,31479.0,0.0
93126.0,40653.0,98.2,28.9,64250.0,40.1
59051.0,39160.0,60.7,32.4,46283.0,43.7
69709.0,26648.0,42.5,7.0,116452.0,77.9
100911.0,34506.0,37.0,32.5,22405.0,0.0
87420.0,62446.0,41.8,0.6,39721.0,75.3
18566.0,67296.0,11.8,32.4,36687.0,92.0
151338.0,20828.0,79.5,33.3,66110.0,0.0
162867.0,25799.0,83.8,0.4,60915.0,2.0
38141.0,19399.0,28.4,26.7,77961.0,52.7
106416.0,38389.0,30.4,34.0,114100.0,20.0
32915.0,54661.0,87.4,31.7,35656.0,87.4
125920.0,18260.0,2.4,34.0,83747.0,0.0
61404.0,26459.0,52.0,19.3,4955.0,34.1
123805.0,74431.0,46.4,2.7,32962.0,67.4
134954.0,3886.0,69.0,29.7,56719.0,0.0
141827.0,36862.0,16.3,21.5,5657.0,0.0
32777.0,56925.0,66.8,21.5,74885.0,100.0
166142.0,12036.0,37.7,14.6,82041.0,0.0
52985.0,3790.0,61.9,20.0,90114.0,39.2
21173.0,11056.0,4.0,5.4,62956.0,69.0
106551.0,73506.0,46.2,25.9,73265.0,60.3
76202.0,741.0,52.2,2.6,48736.0,32.6
151915.0,15066.0,21.4,25.5,6868.0,0.0
148361.0,2503.0,14.0,29.7,13794.0,0.0
67328.0,8850.0,18.8,16.5,79290.0,22.8
172228.0,49612.0,34.4,17.8,119476.0,11.8
63001.0,19331.0,9.7,10.9,3865.0,20.7
99984.0,45537.0,94.7,33.9,67795.0,41.6
57234.0,47216.0,40.5,25.7,90619.0,75.6
169447.0,67955.0,80.9,12.9,99559.0,47.2
42160.0,379.0,97.4,6.1,66334.0,67.0
22410.0,68270.0,8.1,7.7,75150.0,100.0
86791.0,49530.0,65.2,16.2,84214.0,68.7
178742.0,13019.0,87.1,33.0,103358.0,0.0
162127.0,61835.0,63.4,25.7,16430.0,0.0
138520.0,68439.0,42.9,7.5,111289.0,72.3
161981.0,20341.0,43.1,30.1,5070.0,0.0
162419.0,73503.0,3.6,13.2,100672.0,32.1
100612.0,36357.0,53.5,29.8,11055.0,5.7
67128.0,48274.0,99.4,8.5,24966.0,81.3
142382.0,78772.0,95.9,21.7,2460.0,36.9
124174.0,28923.0,4.0,32.4,54540.0,0.0
76654.0,65053.0,70.6,9.0,41454.0,86.3
30587.0,25472.0,30.2,24.3,21587.0,46.9
138220.0,63937.0,90.3,34.6,55229.0,27.6
58306.0,48059.0,4.5,5.3,49480.0,74.8
169574.0,17308.0,93.6,3.1,92584.0,3.0
54760.0,33122.0,83.7,23.6,107389.0,84.7
35255.0,25411.0,11.8,11.9,79003.0,72.1
152134.0,6249.0,6.0,2.5,16680.0,0.0
40292.0,2387.0,83.5,16.6,36856.0,45.4
44579.0,27718.0,15.6,26.4,109772.0,58.5
113898.0,1523.0,53.5,10.0,12471.0,0.0
159303.0,13239.0,91.6,11.7,50009.0,0.0
47412.0,58015.0,56.7,29.6,113216.0,100.0
66203.0,56647.0,39.7,18.2,114178.0,95.5
143272.0,59086.0,44.5,29.5,50522.0,4.5
175351.0,25372.0,6.3,15.6,80753.0,0.0
97622.0,71202.0,96.9,33.4,55896.0,64.4
38743.0,47506.0,31.1,22.8,90908.0,95.0
17299.0,10082.0,18.9,4.1,5727.0,55.9
52893.0,11497.0,28.6,31.0,19011.0,6.8
36751.0,55448.0,96.4,17.1,74475.0,100.0
126814.0,13836.0,9.4,5.0,29441.0,0.0
35102.0,40583.0,86.7,5.3,80594.0,100.0
98544.0,79342.0,70.8,24.1,43444.0,73.8
129553.0,321.0,83.0,1.7,106624.0,16.2
110884.0,1326.0,97.6,10.0,98673.0,21.5
47963.0,79447.0,84.2,4.9,60155.0,100.0
147681.0,46771.0,94.3,15.4,93202.0,39.9
133042.0,10153.0,12.7,14.5,33994.0,0.0
136932.0,71784.0,79.6,18.3,60323.0,59.8
36625.0,70430.0,54.6,9.8,25303.0,100.0
35419.0,42896.0,54.3,1.1,103585.0,100.0
168048.0,49743.0,89.9,21.5,99122.0,14.9
80600.0,21855.0,97.2,13.1,108454.0,69.9
64657.0,4042.0,70.5,22.8,105542.0,39.8
95616.0,47565.0,48.3,3.8,115232.0,79.8
124373.0,23580.0,45.6,0.5,28944.0,3.7
172678.0,53090.0,38.6,8.7,111955.0,31.5
62264.0,66900.0,36.2,16.0,69403.0,94.1
167593.0,1453.0,39.2,13.8,51854.0,0.0
19102.0,47657.0,9.0,28.4,68124.0,80.8
106608.0,18502.0,7.7,13.2,42427.0,0.0
119606.0,69911.0,78.0,18.6,36049.0,56.5
32473.0,20293.0,44.6,20.8,30475.0,52.2
38156.0,48862.0,93.1,0.8,11727.0,100.0
84154.0,44283.0,61.2,18.0,60595.0,54.0
174428.0,31693.0,3.5,12.1,106756.0,0.0
113347.0,54210.0,15.8,14.7,76358.0,36.7
168949.0,58062.0,20.6,3.5,63475.0,9.6
147720.0,45355.0,97.6,27.4,52574.0,4.9
92118.0,60674.0,21.9,33.0,56799.0,33.5
144486.0,78673.0,51.6,0.8,26695.0,57.4
17943.0,33542.0,93.6,21.0,99106.0,100.0
33009.0,41167.0,97.7,26.7,25409.0,85.2
151856.0,998.0,23.6,10.0,86561.0,0.0
146475.0,63682.0,4.9,27.6,91678.0,16.6
53386.0,41618.0,15.4,22.1,69835.0,53.8
102577.0,32637.0,6.3,32.5,103825.0,15.0
114993.0,7526.0,19.5,34.3,36344.0,0.0
158177.0,71173.0,56.9,1.5,106031.0,65.8
114513.0,31601.0,91.2,15.6,88070.0,43.2
83074.0,54607.0,53.7,19.1,96252.0,73.7
76740.0,11950.0,62.6,5.1,80420.0,42.2
85271.0,76924.0,20.2,11.8,101868.0,97.0
122569.0,14275.0,80.1,34.6,119186.0,5.3
158136.0,15963.0,61.8,0.6,51579.0,0.0
89893.0,68719.0,86.4,15.8,98042.0,97.3
55894.0,73007.0,94.9,29.5,89860.0,100.0
54049.0,16972.0,34.8,11.3,55439.0,43.3
138092.0,37584.0,9.1,16.8,111380.0,9.8
149734.0,58680.0,22.6,34.2,48542.0,0.0
32371.0,70269.0,43.8,16.6,68725.0,100.0
25982.0,30324.0,94.6,4.6,14501.0,90.9
113082.0,41362.0,37.8,1.8,28641.0,31.2
39119.0,59337.0,77.1,33.1,101202.0,100.0
151070.0,58491.0,54.0,9.3,48793.0,24.7
66205.0,62637.0,18.3,17.6,48502.0,77.0
38739.0,45595.0,32.1,3.2,31026.0,83.5
166960.0,8369.0,65.3,14.8,60010.0,0.0
42313.0,72318.0,67.3,32.6,97086.0,100.0
61979.0,69246.0,43.5,17.6,107629.0,100.0
40346.0,63848.0,22.9,34.0,10274.0,61.2
34056.0,7989.0,72.2,9.1,69829.0,75.4
18489.0,16352.0,16.9,17.7,57138.0,58.8
24140.0,59488.0,93.7,30.1,74485.0,100.0
43816.0,1851.0,18.8,15.7,54779.0,28.8
23808.0,78338.0,10.7,9.8,49040.0,100.0
112539.0,30172.0,49.8,29.9,57682.0,3.9
127318.0,57545.0,52.0,13.6,70676.0,45.5
79949.0,71006.0,50.8,18.6,61116.0,89.4
67469.0,31570.0,43.7,34.2,57713.0,28.5
98247.0,25531.0,99.5,6.5,98505.0,63.7
159376.0,48699.0,48.6,10.5,89986.0,19.3
155437.0,46479.0,47.8,1.1,42283.0,16.3
22173.0,32731.0,42.2,13.7,96468.0,97.5
44947.0,48142.0,6.7,7.0,102731.0,100.0
54063.0,74831.0,59.3,23.8,20112.0,93.5
56149.0,37411.0,22.8,6.3,70757.0,68.9
109253.0,15739.0,63.8,23.6,35667.0,0.0
83683.0,30176.0,5.1,9.2,89222.0,52.1
23127.0,31529.0,98.1,12.4,30177.0,99.7
76646.0,10489.0,46.9,12.2,81226.0,39.8
101419.0,13030.0,89.7,25.1,32105.0,0.9
31776.0,54765.0,47.6,16.3,62315.0,98.9
152521.0,27158.0,6.0,12.6,113940.0,0.0
23574.0,76392.0,82.2,29.8,46994.0,100.0
167599.0,19488.0,64.8,20.0,105337.0,0.0
31354.0,7914.0,78.2,7.5,118459.0,89.8
154190.0,60280.0,42.8,31.5,105232.0,16.3
163938.0,70483.0,63.8,12.0,21572.0,21.8
176629.0,22249.0,85.6,1.4,98720.0,0.0
147334.0,16167.0,63.1,17.3,5794.0,0.0
143614.0,14861.0,34.8,4.3,48410.0,0.0
121010.0,41761.0,66.3,8.3,104747.0,49.6
143534.0,37473.0,67.2,26.1,83273.0,9.0
37201.0,20755.0,96.1,4.6,64863.0,91.4
103451.0,3614.0,37.1,28.2,47768.0,0.0
99847.0,38519.0,42.5,32.8,97851.0,33.6
156499.0,76747.0,81.2,21.2,85728.0,52.7
91362.0,52202.0,50.6,24.9,57272.0,51.4
78540.0,39641.0,73.7,25.0,107313.0,63.7
120528.0,8855.0,46.0,34.7,29134.0,0.0
58966.0,20195.0,21.5,12.0,22106.0,26.0
38062.0,23582.0,74.5,5.7,77851.0,93.2
93850.0,61184.0,13.1,18.2,116695.0,73.0
83787.0,70137.0,19.9,18.7,31176.0,63.0
53374.0,72131.0,62.7,6.2,31461.0,100.0
75639.0,78765.0,74.7,21.5,18461.0,83.3
75455.0,78589.0,89.5,0.5,103546.0,100.0
69037.0,76240.0,27.3,32.5,28715.0,68.6
77612.0,5746.0,11.1,9.3,61375.0,13.7
128148.0,11023.0,95.6,1.4,118923.0,41.3
63985.0,24357.0,15.4,3.8,3433.0,30.6
171562.0,44232.0,19.8,8.4,67665.0,0.0
166197.0,7758.0,29.1,9.6,62450.0,0.0
94350.0,67664.0,52.9,1.1,97279.0,100.0
69180.0,49340.0,88.3,9.8,43923.0,86.6
103347.0,43389.0,76.1,6.8,50420.0,52.1
155012.0,13225.0,70.8,13.3,21817.0,0.0
122677.0,20260.0,17.5,13.5,89416.0,0.0
147725.0,12825.0,35.8,11.9,94596.0,0.0
102899.0,68155.0,47.8,11.5,18126.0,57.2
119431.0,46738.0,14.7,3.1,48428.0,25.7
62546.0,58810.0,27.3,0.9,107363.0,100.0
136257.0,23683.0,30.8,7.1,2319.0,0.0
48397.0,29700.0,12.7,26.5,37254.0,32.4
129642.0,32388.0,55.0,34.7,67495.0,0.0
157019.0,60801.0,70.5,32.5,41423.0,0.0
36797.0,61788.0,7.0,17.6,34101.0,85.0
116373.0,16545.0,48.1,18.6,56284.0,0.0
30691.0,75323.0,78.2,11.0,23420.0,100.0
134743.0,9652.0,74.8,27.1,64496.0,0.0
28941.0,71690.0,81.5,26.8,85390.0,100.0
169430.0,8032.0,44.8,29.5,69885.0,0.0
37672.0,21163.0,82.1,31.3,12987.0,39.9
173215.0,67718.0,24.1,15.2,101640.0,13.5
147146.0,14359.0,36.1,26.8,22647.0,0.0
112958.0,33085.0,17.6,28.2,92248.0,12.4
144133.0,35989.0,46.7,10.8,44547.0,0.0
146194.0,19621.0,39.2,32.5,94366.0,0.0
171094.0,56820.0,24.1,3.3,26340.0,0.0
56808.0,68107.0,75.2,34.8,24026.0,83.5
112363.0,69966.0,31.4,27.0,60649.0,47.3
30683.0,27146.0,27.3,3.3,5886.0,61.8
116667.0,42468.0,13.1,23.0,28585.0,3.3
43263.0,19873.0,43.9,1.2,87433.0,79.8
108217.0,19584.0,30.3,27.0,100811.0,9.7
109451.0,12900.0,36.9,28.0,11533.0,0.0
91888.0,75202.0,23.6,21.1,106085.0,89.6
101234.0,71039.0,76.3,30.0,96107.0,75.6
141047.0,62189.0,93.0,3.4,104623.0,71.1
146875.0,41413.0,49.8,9.7,84415.0,19.3
96205.0,39249.0,64.3,14.5,81550.0,55.3
113933.0,42380.0,86.7,1.5,63961.0,57.7
168654.0,42925.0,99.9,15.7,79029.0,15.3
34756.0,34765.0,61.4,9.3,110455.0,100.0
34322.0,10540.0,89.0,13.7,13862.0,56.6
29472.0,10053.0,90.9,14.9,39260.0,67.2
123547.0,76180.0,79.1,30.8,10550.0,36.0
84070.0,38562.0,46.1,9.5,113487.0,71.6
142763.0,76256.0,8.1,31.3,54541.0,14.7
125753.0,13086.0,1.6,14.9,81691.0,0.0
70050.0,44353.0,47.7,11.5,101252.0,92.6
163230.0,16617.0,49.4,17.6,118938.0,0.0
140818.0,20255.0,40.7,14.6,21090.0,0.0
59638.0,2404.0,56.8,9.0,96342.0,62.3
75092.0,9516.0,55.2,17.6,106716.0,41.9
66883.0,73348.0,83.7,5.3,7767.0,100.0
41006.0,25723.0,10.9,12.3,90983.0,72.2
39384.0,48650.0,22.5,19.8,43858.0,70.7
169461.0,37201.0,79.3,14.5,78534.0,0.0
87254.0,32036.0,84.8,28.8,62658.0,35.2
78248.0,42551.0,99.5,9.0,32650.0,74.1
135398.0,14979.0,87.3,33.9,17956.0,0.0
106244.0,79088.0,89.0,27.5,15800.0,61.6
169463.0,65465.0,31.4,33.9,14192.0,0.0
143750.0,59329.0,40.2,29.3,77259.0,18.6
94096.0,37501.0,26.8,5.0,43466.0,38.3
77099.0,12230.0,60.6,18.4,27563.0,11.7
177794.0,73653.0,93.9,5.9,83642.0,55.0
133430.0,27311.0,34.5,28.6,83048.0,0.0
171947.0,4009.0,55.7,20.4,65622.0,0.0
34549.0,27392.0,29.6,9.2,112325.0,91.6
155338.0,63557.0,17.0,32.5,47479.0,0.0
120117.0,49817.0,19.5,4.0,100632.0,54.9
35117.0,60067.0,5.8,19.7,10866.0,77.4
112063.0,63491.0,94.9,25.2,89300.0,70.8
128206.0,16956.0,40.3,2.1,118637.0,26.9
17030.0,73903.0,83.4,20.9,101899.0,100.0
89962.0,35039.0,68.1,28.6,70400.0,33.3
151191.0,51121.0,19.2,2.4,75958.0,21.9
63734.0,185.0,17.5,17.9,43688.0,3.7
90660.0,79469.0,81.2,9.0,82179.0,100.0
87982.0,22472.0,26.5,23.2,92907.0,16.7
64818.0,4965.0,91.3,4.2,119791.0,71.8
166543.0,36661.0,14.0,32.8,60111.0,0.0
143914.0,10322.0,67.8,31.3,9234.0,0.0
33247.0,12186.0,81.4,6.5,72311.0,81.7
179511.0,50583.0,23.5,11.3,16045.0,0.0
160068.0,31434.0,27.6,20.6,30882.0,0.0
61845.0,73748.0,96.5,25.1,40796.0,95.8
153088.0,25533.0,26.5,15.5,88262.0,0.0
32559.0,58094.0,43.0,5.5,23689.0,100.0
179852.0,36888.0,43.3,3.6,21559.0,0.0
124838.0,52796.0,25.3,35.0,7306.0,0.0
122271.0,47976.0,77.6,15.9,105042.0,49.3
29923.0,37823.0,77.2,30.5,83834.0,88.7
163011.0,76005.0,37.8,16.9,6714.0,8.2
19785.0,27417.0,83.5,32.3,5338.0,59.1
54737.0,14179.0,21.3,3.1,67924.0,53.9
38599.0,54248.0,0.4,4.0,35339.0,85.2
143167.0,67681.0,57.1,32.5,72414.0,25.2
47704.0,3220.0,99.4,33.2,53283.0,33.4
165255.0,35971.0,3.9,11.0,110951.0,0.0
123284.0,71399.0,20.8,12.4,35961.0,38.5
20967.0,59969.0,51.9,15.8,82139.0,100.0
15896.0,79345.0,81.0,14.6,8378.0,100.0
23524.0,42513.0,8.9,6.7,114792.0,100.0
114978.0,52800.0,39.5,31.4,117729.0,39.1
147244.0,24198.0,74.7,8.9,89211.0,7.4
54361.0,75803.0,37.2,24.7,56895.0,97.9
155152.0,29307.0,18.9,2.4,27959.0,0.0
24443.0,59081.0,19.5,1.4,97877.0,100.0
147159.0,32251.0,41.0,22.9,88890.0,0.0
168086.0,44946.0,47.9,11.9,28191.0,0.0
142398.0,57583.0,86.2,22.9,55243.0,30.2
130190.0,40715.0,64.2,3.3,56610.0,28.7
153267.0,72567.0,69.0,33.2,99516.0,35.4
21625.0,33544.0,98.3,26.2,82694.0,100.0
48294.0,51766.0,41.2,30.7,77894.0,78.6
35612.0,27389.0,40.3,4.8,78680.0,89.1
98248.0,32653.0,92.3,11.2,33915.0,40.3
137956.0,35204.0,24.6,12.9,45862.0,0.0
118952.0,10065.0,73.0,18.8,7388.0,0.0
155437.0,7338.0,75.5,10.4,94859.0,0.0
40610.0,53399.0,9.8,2.1,53094.0,97.7
136212.0,52441.0,46.8,12.9,53712.0,22.7
46852.0,53033.0,20.1,8.9,30952.0,83.2
59675.0,1581.0,18.5,13.5,26712.0,6.3
132134.0,26124.0,46.4,6.9,71363.0,8.0
176734.0,15825.0,28.9,9.2,29441.0,0.0
115905.0,62252.0,79.6,21.9,9577.0,37.2
23993.0,68850.0,90.8,13.6,92566.0,100.0
116691.0,19734.0,80.3,12.1,46423.0,20.3
21988.0,53428.0,26.6,18.7,46868.0,93.9
160884.0,10349.0,27.4,27.0,52896.0,0.0
132080.0,22012.0,25.5,13.3,98175.0,4.7
43566.0,11092.0,13.5,20.6,39859.0,25.0
30134.0,22682.0,94.4,33.8,91448.0,75.4
45283.0,53979.0,40.2,18.3,112866.0,100.0
176704.0,72826.0,22.5,31.8,79982.0,0.0
90663.0,16202.0,84.7,27.8,52938.0,10.6
144373.0,43366.0,39.9,2.1,90239.0,24.6
120007.0,56111.0,3.5,15.0,56032.0,22.8
109448.0,76234.0,16.2,24.4,50902.0,43.7
38946.0,48805.0,63.9,34.5,63983.0,81.7
171094.0,20409.0,78.3,16.0,39491.0,0.0
64722.0,50038.0,21.1,3.2,14302.0,61.1
110373.0,25639.0,91.7,19.7,50953.0,19.9
130463.0,78090.0,85.1,4.4,16615.0,58.8
122123.0,31974.0,84.8,26.3,50432.0,7.5
170198.0,54834.0,22.8,17.8,67718.0,0.0
39492.0,1858.0,5.1,25.3,111824.0,38.7
98878.0,32005.0,86.7,30.4,6274.0,4.7
81666.0,70009.0,30.6,22.0,75332.0,81.9
93238.0,48818.0,61.9,21.4,56013.0,43.6
34671.0,35515.0,76.0,26.4,4391.0,54.9
37126.0,74875.0,12.8,29.5,31447.0,90.0
60882.0,68319.0,78.1,30.4,15981.0,83.3
65276.0,25777.0,93.9,1.3,27582.0,69.6
85604.0,43564.0,72.8,19.5,34399.0,47.4
115813.0,39186.0,44.1,7.6,49354.0,20.5
119714.0,50576.0,87.7,30.1,64427.0,25.3
82949.0,26729.0,52.7,22.7,2117.0,10.3
82449.0,19536.0,74.5,14.7,21101.0,23.3
50909.0,73014.0,82.1,6.6,13041.0,100.0
112071.0,73910.0,74.9,11.9,66861.0,81.8
67312.0,67466.0,28.8,24.6,40831.0,70.6
20950.0,78256.0,11.8,7.2,66711.0,100.0
84036.0,59599.0,23.8,3.3,28175.0,66.9
93232.0,61173.0,50.3,31.1,4859.0,35.9
52223.0,61007.0,50.5,26.7,113081.0,100.0
109456.0,38449.0,58.3,7.0,14780.0,25.9
108352.0,36516.0,39.5,10.2,16969.0,20.5
130830.0,19218.0,78.7,34.0,19293.0,0.0
121911.0,51586.0,91.3,24.8,117791.0,69.7
122651.0,23146.0,24.7,21.4,74884.0,0.0
67175.0,20625.0,73.7,10.8,74014.0,61.4
144926.0,46877.0,67.8,10.5,118430.0,46.6
105609.0,32799.0,52.3,1.4,12436.0,33.9
86184.0,17509.0,18.9,25.5,116991.0,26.7
118292.0,65284.0,79.5,1.5,26074.0,59.6
74508.0,68846.0,96.1,0.2,75522.0,100.0
99602.0,13416.0,72.2,25.5,51570.0,1.8
136556.0,601.0,91.8,33.2,47306.0,0.0
161256.0,26890.0,98.4,26.5,111887.0,0.0
166974.0,63801.0,35.2,16.5,19609.0,0.0
98099.0,67134.0,63.8,17.0,119654.0,91.3
100845.0,11066.0,47.4,15.3,46737.0,1.6
146979.0,61947.0,98.7,11.4,78555.0,53.3
66884.0,9256.0,9.4,18.3,116213.0,41.3
153168.0,31205.0,41.2,15.1,8797.0,0.0
96533.0,79889.0,87.6,20.9,110898.0,100.0
34116.0,15407.0,28.4,31.4,69002.0,40.3
26890.0,12317.0,78.8,34.8,85119.0,58.6
153929.0,33824.0,38.3,2.8,19604.0,0.0
24169.0,49573.0,98.0,13.5,64940.0,100.0
61301.0,74632.0,88.4,6.3,81475.0,100.0
70131.0,78466.0,30.1,12.3,55837.0,100.0
